#node	identifier	domain_summary_url	annotation	other_names_and_aliases
3872842	5141.EFNCRP00000000159	https://smart.embl.de/smart/DDvec.cgi?smart=358:COIL(9|42)+WD40(59|98)+WD40(101|140)+WD40(148|186)+WD40(189|229)+WD40(232|271)+WD40(274|315)+WD40(318|357)+	Probable guanine nucleotide-binding protein beta subunit	3872842	AF491286	EAA27468.2	EFNCRG00000000159	EFNCRG00000000159	EFNCRG00000000159	EFNCRP00000000159	EFNCRP00000000159	EFNCRP00000000159	EFNCRT00000000159	EFNCRT00000000159	EFNCRT00000000159	G-protein beta subunit	G-protein beta subunit	GE21DRAFT_4768	GE21DRAFT_4768	Q7RXR9	Q7RXR9	Q8NJW7	Q8NJW7	Q8NJW7	Q8NJW7_NEUCS	Q8NJW7_NEUCS	UPI000006C90E	XM_951611	XM_951611	XP_956704	XP_956704	XP_956704	gnb-1	gnb-1	gnb-1	guanine nucleotide binding protein beta-1	ncr:NCU00440
3871924	5141.EFNCRP00000002549	https://smart.embl.de/smart/DDvec.cgi?smart=366:Pfam_SRP19(125|220)+	Signal recognition particle, SRP19 subunit	3871924	A0A0B0DNY2	A0A0B0DNY2_NEUCS	EAA26541.1	EFNCRG00000002546	EFNCRG00000002546	EFNCRG00000002546	EFNCRP00000002549	EFNCRP00000002549	EFNCRP00000002549	EFNCRT00000002549	EFNCRT00000002549	EFNCRT00000002549	GE21DRAFT_1276744	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q8WZS0	Signal recognition particle, SRP19 subunit	UPI00000694B5	XM_950684	XM_950684	XP_955777	XP_955777	XP_955777	ncr:NCU03485
3872264	5141.EFNCRP00000002587	https://smart.embl.de/smart/DDvec.cgi?smart=644:Pfam_Actin(71|296)+	Actin-like ATPase domain-containing protein; Actin-related protein RO7; Belongs to the actin family	3872264	A0A0B0DMG9	A0A0B0DMG9_NEUCS	Actin-like ATPase domain-containing protein	Actin-related protein RO7	Actin-related protein RO7	Actin-related protein RO7	EAA26890.1	EFNCRG00000002584	EFNCRG00000002584	EFNCRG00000002584	EFNCRP00000002587	EFNCRP00000002587	EFNCRP00000002587	EFNCRT00000002587	EFNCRT00000002587	EFNCRT00000002587	GE21DRAFT_1219978	Q8WZX0	UPI000006C49F	XM_951033	XM_951033	XP_956126	XP_956126	XP_956126	ncr:NCU03563	ro-7	ropy-7
3881132	5141.EFNCRP00000002853	https://smart.embl.de/smart/DDvec.cgi?smart=888:Pfam_GIT_SHD(118|146)+Pfam_GIT_SHD(177|204)+COIL(333|519)+	Uncharacterized protein	3881132	A0A0B0E2J7	A0A0B0E2J7_NEUCS	EAA35738.1	EFNCRG00000002850	EFNCRG00000002850	EFNCRG00000002850	EFNCRP00000002853	EFNCRP00000002853	EFNCRP00000002853	EFNCRT00000002853	EFNCRT00000002853	EFNCRT00000002853	GE21DRAFT_1152	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q7SFX9	UPI00001897B2	Uncharacterized protein	XM_959881	XM_959881	XP_011393082	XP_964974	XP_964974	ncr:NCU03115	spa2	spa2-like
3880011	5141.EFNCRP00000002959	https://smart.embl.de/smart/DDvec.cgi?smart=428:RRM(181|254)+RRM(285|358)+	Uncharacterized protein	3880011	A0A0B0DYX6	A0A0B0DYX6_NEUCS	EAA34626.1	EFNCRG00000002956	EFNCRG00000002956	EFNCRG00000002956	EFNCRP00000002959	EFNCRP00000002959	EFNCRP00000002959	EFNCRT00000002959	EFNCRT00000002959	EFNCRT00000002959	GE21DRAFT_1128	Predicted protein	Predicted protein	Predicted protein	Q7SCZ4	UPI0000189BD3	Uncharacterized protein	XM_958769	XM_958769	XP_963862	XP_963862	XP_963862	ncr:NCU03092
3875860	5141.EFNCRP00000003210	https://smart.embl.de/smart/DDvec.cgi?smart=354:S_TKc(20|310)+	Mitogen-activated kinase-2	2.7.11.24	3875860	EAA30477.2	EC 2.7.11.24	EFNCRG00000003207	EFNCRG00000003207	EFNCRG00000003207	EFNCRP00000003210	EFNCRP00000003210	EFNCRP00000003210	EFNCRT00000003210	EFNCRT00000003210	EFNCRT00000003210	GE21DRAFT_10294	Mitogen-activated kinase-2	Mitogen-activated kinase-2	Mitogen-activated kinase-2	Mitogen-activated protein kinase	Q1K6I1	Q9C1E0	Q9C1E0_NEUCS	UPI00015C37F9	XM_954620	XM_954620	XP_011395161	XP_959713	XP_959713	mak-2	mak-2	mitogen-activated protein kinase-2	ncr:NCU02393
3877401	5141.EFNCRP00000003893	https://smart.embl.de/smart/DDvec.cgi?smart=380:ACTIN(7|380)+	Actin-like protein; Belongs to the actin family	3877401	A0A0B0DZG4	A0A0B0DZG4_NEUCS	Actin-like protein	Actin-like protein	Actin-like protein	EAA32002.1	EFNCRG00000003889	EFNCRG00000003889	EFNCRG00000003889	EFNCRP00000003893	EFNCRP00000003893	EFNCRP00000003893	EFNCRT00000003893	EFNCRT00000003893	EFNCRT00000003893	GE21DRAFT_8239	L31505	NCRA-XX3-01:NCRA-XX3-01-007995-MON	P38673	U14008	UPI000012546E	Uncharacterized protein	XM_956145	XM_956145	XP_961238	XP_961238	XP_961238	ncr:NCU04247	ro-4	ropy-4
3877297	5141.EFNCRP00000003898	https://smart.embl.de/smart/DDvec.cgi?smart=375:ACTIN(5|375)+	Actin/actin-like protein; Actin; Belongs to the actin family	3877297	A0A0B0EAU8	A0A0B0EAU8_NEUCS	Actin	Actin	Actin	Actin/actin-like protein	EAA31897.2	EFNCRG00000003893	EFNCRG00000003893	EFNCRG00000003893	EFNCRP00000003898	EFNCRP00000003898	EFNCRP00000003898	EFNCRT00000003898	EFNCRT00000003898	EFNCRT00000003898	GE21DRAFT_8167	P78711	U78026	UPI0000000D95	XM_956040	XM_956040	XP_011394625	XP_961133	XP_961133	act	actin	ncr:NCU04173
5847590	5141.EFNCRP00000004129	https://smart.embl.de/smart/DDvec.cgi?smart=630:Pfam_SRP68(15|586)+	Signal recognition particle subunit SRP68; Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane	5847590	A0A0B0DY09	A0A0B0DY09_NEUCS	A7UWE1	EDO65231.1	EFNCRG00000004124	EFNCRG00000004124	EFNCRG00000004124	EFNCRP00000004129	EFNCRP00000004129	EFNCRP00000004129	EFNCRT00000004129	EFNCRT00000004129	EFNCRT00000004129	GE21DRAFT_6282	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Signal recognition particle subunit SRP68	UPI00015C39F0	XM_001728270	XM_001728270	XP_001728322	XP_001728322	XP_001728322	ncr:NCU10927
3877693	5141.EFNCRP00000004366	https://smart.embl.de/smart/DDvec.cgi?smart=161:Pfam_Tropomyosin_1(7|149)+	Uncharacterized protein	3877693	A0A0B0E5X6	A0A0B0E5X6_NEUCS	EAA32334.1	EFNCRG00000004360	EFNCRG00000004360	EFNCRG00000004360	EFNCRP00000004366	EFNCRP00000004366	EFNCRP00000004366	EFNCRT00000004366	EFNCRT00000004366	EFNCRT00000004366	GE21DRAFT_7624	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q7S7Z5	UPI000018A2E3	Uncharacterized protein	XM_956477	XM_956477	XP_961570	XP_961570
3878344	5141.EFNCRP00000004936	https://smart.embl.de/smart/DDvec.cgi?smart=356:G_alpha(15|355)+	Guanine nucleotide-binding protein alpha-3 subunit	3878344	A0A0B0E5B1	A0A0B0E5B1_NEUCS	AF281862	EAA32969.1	EFNCRG00000004934	EFNCRG00000004934	EFNCRG00000004934	EFNCRP00000004936	EFNCRP00000004936	EFNCRP00000004936	EFNCRT00000004940	EFNCRT00000004940	EFNCRT00000004940	GE21DRAFT_6730	NCRA-XX3-01:NCRA-XX3-01-008954-MON	Q9HFW7	UPI000012B1E9	Uncharacterized protein	XM_957112	XM_957112	XP_962205	XP_962205	XP_962205	gna-3	guanine nucleotide binding protein alpha-3	ncr:NCU05206
