SRP1,Physical
KEL2,Physical
CTH1,Physical
SEC3,Physical
BOI1,Physical
BUD14,Physical
MYO4,Physical
CDC42,Physical
RHO3,Physical
KEL1,Physical
TIS11,Physical
BOI2,Physical
MYO2,Physical
BNI1,Genetic
BNR1,Genetic
MIH1,Genetic
EXO70,Genetic
KIN1,Genetic
KEL2,Genetic
DCV1,Genetic
BUD4,Genetic
SCS22,Genetic
SCS22,Genetic
SEC8,Genetic
BUD14,Genetic
GPD1,Genetic
RGA2,Genetic
INN1,Genetic
KIP2,Genetic
MYO4,Genetic
TUL1,Genetic
YOR296W,Genetic
SWR1,Genetic
CAP1,Genetic
UPF3,Genetic
RHO4,Genetic
NAM7,Genetic
VPS8,Genetic
BIM1,Genetic
GIM4,Genetic
RHO3,Genetic
LIA1,Genetic
YPT6,Genetic
KEL2,Genetic
CYK3,Genetic
VPS17,Genetic
RPN4,Genetic
HTZ1,Genetic
BRE2,Genetic
MAK10,Genetic
DSF2,Genetic
HIR1,Genetic
PAN3,Genetic
OPI3,Genetic
GYP1,Genetic
SNA4,Genetic
RVS161,Genetic
DOA1,Genetic
SSK1,Genetic
HST2,Genetic
PHO85,Genetic
SET1,Genetic
SWC5,Genetic
SPP1,Genetic
MSS4,Genetic
IQG1,Genetic
MLC2,Genetic
MLC1,Genetic
KIN2,Genetic
KEL1,Genetic
RIM9,Genetic
SCS2,Genetic
SCS2,Genetic
RGA1,Genetic
MYO2,Genetic
KEL1,Genetic
PMP3,Genetic
KIN2,Genetic
KEL1,Genetic
RIM9,Genetic
SCS2,Genetic
SCS2,Genetic
RGA1,Genetic
MYO2,Genetic
KEL1,Genetic
PMP3,Genetic
